iso3,iso2,name,capital,continent,region,income_level,year,population,gdp,inflation,female_population,life_expectancy,poverty,fertility,hospital_beds_1000,physicians_1000,maternal_death_risk,suicides_100k,health_expenditure_share,infant_mortality_1000,renewables_share,co2_capita,greenhousegas_capita
BHR,BH,Bahrain,Manama,Asia,Middle East & North Africa,High income,2017,1456834.0,71282082008.2729,5.51968542033678,544637.0,79.689,,2.006,1.74,,0.0375108788819844,11.4,4.51235688,6.2,,20.9460377778113,50342.13908
KGZ,KG,Kyrgyz Republic,Bishkek,Asia,Europe & Central Asia,Lower middle income,1987,4144600.0,,,2136081.0,63.6604390243902,,4.146,12.0642004013062,,,,,59.0,,,
PRY,PY,Paraguay,Asuncion,Americas,Latin America & Caribbean ,Upper middle income,2009,5702574.0,55586925017.0855,3.64796491881232,2830572.0,71.635,5.8,2.787,1.3,,0.320757552778528,6.2,5.52496862,22.5,100.0,0.801024239229513,37592.47978
LIE,LI,Liechtenstein,Vaduz,Europe,Europe & Central Asia,High income,2003,34000.0,,0.632556289875552,17257.0,79.9609756097561,,1.36,,,,,,,0.0,6.74572105882353,239.285085
BGD,BD,Bangladesh,Dhaka,Asia,South Asia,Lower middle income,1987,100490256.0,,11.1196311686084,49024596.0,54.926,,5.073,,,,,,112.7,,,
FRO,FO,Faroe Islands,Torshavn,Europe,Europe & Central Asia,High income,1988,46959.0,,,22474.0,75.7146341463415,,2.572,,,,,,,,,
CPV,CV,Cabo Verde,Praia,Africa,Sub-Saharan Africa ,Lower middle income,2001,465958.0,1480435650.67286,5.15533504951297,238957.0,69.929,19.6,3.399,,,0.388874196216444,19.9,4.75244379,28.4,3.88919131434101,0.769382648221514,505.655184
ALB,AL,Albania,Tirane,Europe,Europe & Central Asia,Upper middle income,1988,3142336.0,,-0.0005785792721866,1533846.0,72.641,,3.004,3.93549990653992,,,,,38.8,,,
SDN,SD,Sudan,Khartoum,Africa,Sub-Saharan Africa ,Low income,2014,37003245.0,168144123941.597,34.0669855189111,18496684.0,64.269,15.3,4.912,,,1.51368531881299,5.1,5.67619705,46.4,78.3491561181435,0.450190246828352,99730.64924
RUS,RU,Russian Federation,Moscow,Europe,Europe & Central Asia,Upper middle income,2017,144496739.0,3807101264909.28,5.34981508815954,77431943.0,72.4514634146342,0.0,1.621,8.05,4.0762,0.0151480803510929,49.3,5.35889816,5.6,,11.0351992095822,2282284.734
